,날짜,누적확진자,사망자수
397,20210119,73103,1283
396,20210120,73507,1300
395,20210121,73907,1316
394,20210122,74253,1328
393,20210123,74684,1337
392,20210124,75076,1349
391,20210125,75513,1360
390,20210126,75862,1371
389,20210127,76421,1378
388,20210128,76918,1386
387,20210129,77387,1399
386,20210130,77843,1414
385,20210131,78197,1420
384,20210201,78502,1425
383,20210202,78838,1435
382,20210203,79305,1441
381,20210204,79756,1448
380,20210205,80126,1459
379,20210206,80516,1464
378,20210207,80887,1471
377,20210208,81175,1474
376,20210209,81478,1482
375,20210210,81922,1486
374,20210211,82426,1496
373,20210212,82829,1507
372,20210213,83191,1514
371,20210214,83517,1522
370,20210215,83860,1527
369,20210216,84317,1534
368,20210217,84938,1538
367,20210218,85559,1544
366,20210219,86120,1550
365,20210220,86568,1553
364,20210221,86984,1557
363,20210222,87316,1562
362,20210223,87672,1573
361,20210224,88112,1576
360,20210225,88507,1581
359,20210226,88894,1585
358,20210227,89309,1595
357,20210228,89664,1603
356,20210301,90019,1605
355,20210302,90363,1606
354,20210303,90807,1612
353,20210304,91231,1619
352,20210305,91629,1627
351,20210306,92047,1632
350,20210307,92463,1634
349,20210308,92809,1642
348,20210309,93255,1645
347,20210310,93725,1648
346,20210311,94190,1652
345,20210312,94678,1662
344,20210313,95168,1667
343,20210314,95627,1669
342,20210315,96006,1675
341,20210316,96369,1678
340,20210317,96838,1686
339,20210318,97283,1688
338,20210319,97746,1690
337,20210320,98193,1693
336,20210321,98649,1696
335,20210322,99064,1697
334,20210323,99410,1704
333,20210324,99838,1707
332,20210325,100268,1709
331,20210326,100757,1716
330,20210327,101262,1721
329,20210328,101744,1722
328,20210329,102126,1726
327,20210330,102573,1729
326,20210331,103079,1731
325,20210401,103630,1735
324,20210402,104187,1737
323,20210403,104730,1740
322,20210404,105273,1744
321,20210405,105746,1748
320,20210406,106223,1752
319,20210407,106891,1756
318,20210408,107591,1758
317,20210409,108262,1764
316,20210410,108939,1765
315,20210411,109553,1768
314,20210412,110140,1770
313,20210413,110682,1775
312,20210414,111413,1782
311,20210415,112111,1788
310,20210416,112784,1790
309,20210417,113442,1794
308,20210418,114113,1797
307,20210419,114645,1801
306,20210420,115194,1802
305,20210421,115925,1806
304,20210422,116660,1808
303,20210423,117457,1811
302,20210424,118242,1812
301,20210425,118886,1813
300,20210426,119385,1817
299,20210427,119897,1820
298,20210428,120666,1821
297,20210429,121345,1825
296,20210430,122006,1828
295,20210501,122633,1831
294,20210502,123239,1833
293,20210503,123727,1834
292,20210504,124268,1840
291,20210505,124944,1847
290,20210506,125518,1851
289,20210507,126043,1860
288,20210508,126744,1865
287,20210509,127308,1874
286,20210510,127771,1875
285,20210511,128281,1879
284,20210512,128915,1884
283,20210513,129630,1891
282,20210514,130377,1893
281,20210515,131058,1896
280,20210516,131668,1900
279,20210517,132287,1903
278,20210518,132815,1904
277,20210519,133469,1912
276,20210520,134115,1916
275,20210521,134676,1922
274,20210522,135342,1926
273,20210523,135927,1931
272,20210524,136457,1934
271,20210525,136973,1938
270,20210526,137678,1940
269,20210527,138307,1943
268,20210528,138894,1946
267,20210529,139427,1951
266,20210530,139907,1957
265,20210531,140337,1959
264,20210601,140796,1963
263,20210602,141473,1965
262,20210603,142154,1968
261,20210604,142849,1969
260,20210605,143593,1971
259,20210606,144149,1973
258,20210607,144634,1974
257,20210608,145088,1975
256,20210609,145690,1977
255,20210610,146300,1979
254,20210611,146856,1981
253,20210612,147421,1982
252,20210613,147873,1985
251,20210614,148272,1988
250,20210615,148645,1992
249,20210616,149190,1993
248,20210617,149730,1994
247,20210618,150237,1996
246,20210619,150719,1997
245,20210620,151148,2002
244,20210621,151505,2004
243,20210622,151899,2006
242,20210623,152544,2007
241,20210624,153154,2008
240,20210625,153788,2009
239,20210626,154456,2012
238,20210627,155070,2013
237,20210628,155571,2015
236,20210629,156166,2017
235,20210630,156960,2018
234,20210701,157721,2021
233,20210702,158546,2024
232,20210703,159340,2025
231,20210704,160083,2026
230,20210705,160794,2028
229,20210706,161540,2032
228,20210707,162751,2033
227,20210708,164026,2034
226,20210709,165342,2036
225,20210710,166720,2038
224,20210711,168044,2043
223,20210712,169144,2044
222,20210713,170294,2046
221,20210714,171907,2048
220,20210715,173506,2050
219,20210716,175041,2051
218,20210717,176490,2055
217,20210718,177943,2057
216,20210719,179194,2058
215,20210720,180472,2059
214,20210721,182253,2060
213,20210722,184094,2063
212,20210723,185723,2066
211,20210724,187350,2068
210,20210725,188837,2073
209,20210726,190155,2077
208,20210727,191518,2079
207,20210728,193413,2083
206,20210729,195086,2085
205,20210730,196796,2089
204,20210731,198334,2095
203,20210801,199776,2098
202,20210802,200994,2099
201,20210803,202194,2104
200,20210804,203919,2106
199,20210805,205694,2109
198,20210806,207398,2113
197,20210807,209221,2116
196,20210808,210948,2121
195,20210809,212439,2125
194,20210810,213976,2134
193,20210811,216197,2135
192,20210812,218184,2138
191,20210813,220173,2144
190,20210814,222101,2148
189,20210815,223917,2156
188,20210816,225471,2167
187,20210817,226843,2173
186,20210818,228646,2178
185,20210819,230798,2191
184,20210820,232938,2197
183,20210821,234725,2202
182,20210822,236351,2215
181,20210823,237768,2222
180,20210824,239275,2228
179,20210825,241429,2237
178,20210826,243311,2257
177,20210827,245148,2265
176,20210828,246939,2276
175,20210829,248558,2279
174,20210830,250043,2284
173,20210831,251413,2285
172,20210901,253437,2292
171,20210902,255397,2303
170,20210903,257105,2308
169,20210904,258908,2315
168,20210905,260398,2321
167,20210906,261773,2327
166,20210907,263370,2330
165,20210908,265417,2334
164,20210909,267466,2343
163,20210910,269359,2348
162,20210911,271223,2358
161,20210912,272978,2359
160,20210913,274411,2360
159,20210914,275919,2367
158,20210915,277984,2380
157,20210916,279926,2386
156,20210917,281934,2389
155,20210918,284021,2394
154,20210919,285930,2403
153,20210920,287534,2409
152,20210921,289263,2413
151,20210922,290983,2419
150,20210923,292698,2427
149,20210924,295127,2434
148,20210925,298397,2441
147,20210926,301165,2450
146,20210927,303546,2456
145,20210928,305834,2464
144,20210929,308715,2474
143,20210930,311276,2481
142,20211001,313760,2497
141,20211002,316007,2504
140,20211003,318092,2507
139,20211004,319762,2513
138,20211005,321336,2524
137,20211006,323363,2536
136,20211007,325788,2544
135,20211008,327959,2554
134,20211009,329912,2560
